店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
海鮮個室酒場 伊まり 札幌駅南口店,050-5485-4909,,北海道,札幌市中央区,北4条西4-1-1,ニュー札幌ビルB1,,
全席個室 じぶんどき 札幌駅前店,050-5494-0293,,北海道,札幌市中央区,北4条西2-1-1,カメイ札幌駅前ビルB1,,
完全掘り炬燵×北の海鮮と肉刺し料理 美味門 札幌駅前店,080-4615-8320,,北海道,札幌市中央区,北1条西3-3-28,札幌中央ビル5F,,
個室×北海道極食材籠家（かごや）札幌駅本店,050-5487-3705,,北海道,札幌市中央区,北4条西2-1-25,札幌TRビル9F,,
【個室完備】北海道和食 隠れ家居酒屋彩屋～いろどりや～札幌店,050-5488-4419,,北海道,札幌市中央区,北4条西5-1,アスティ45ビルB1,,
個室居酒屋 四季彩 ‐Shikisai‐ 札幌店,050-5486-8525,,北海道,札幌市中央区,北四条西4-1,読売北海道ビル2F,,
海鮮個室酒場 伊まり 札幌駅北口店,050-5488-4479,,北海道,札幌市北区,北7条西2-20-1,NCO札幌駅北口ビルB1,,
海鮮 個室居酒屋 はなみずき 札幌駅前店,050-5485-9154,,北海道,札幌市中央区,北4条西2-1-25,札幌TRビル6F,,
極上肉×旨い海鮮を喰らう！個室居酒屋 魚々路 ～Totoro～ 札幌店,050-5487-2845,,北海道,札幌市中央区,北1条西3-3-11,桂和北1条ビル3F,,
999円無制限飲み放題 個室居酒屋和菜美 札幌駅前店,050-5488-6247,,北海道,札幌市中央区,北4条西6-1-1,エターナルパンセ3F,,
北海道食市場 丸海屋 日本生命札幌ビル店,050-5486-3511,,北海道,札幌市中央区,北3条西4-1-1,日本生命札幌ビル1F,,
完全個室居酒屋 北海道海鮮×旨い肉 いろり屋 札幌駅前店,050-5494-4927,,北海道,札幌市中央区,北4条西6-1-1,エターナルパンセ3F,,
手羽先×個室 180種食べ飲み放題札幌商店 大通り店,080-4615-8320,,北海道,札幌市中央区,北1条西3-3-24,札幌中央ビル5F,,
海鮮個室酒場 伊まり 札幌駅JR55ビル店,050-5492-4526,,北海道,札幌市中央区,北5条西5-1-5,JR55ビル,,
鳥屋 札幌駅前店,050-5487-6481,,北海道,札幌市中央区,北2条西3-1,敷島ビルB1,,
海鮮個室酒場 伊まり 時計台前店,050-5489-3422,,北海道,札幌市中央区,北1条西3-3-25,荒巻時計台前ビルB1,,
【全席個室】 刺身と焼物 ひゃくや札幌駅JR高架下店,011-212-1290,,北海道,札幌市北区,北6条西6-1-1,JR札幌駅西口高架下 WEST6 1F,,
【6月23日OPEN】だし劇場 ○△□ 札幌総本店,050-5488-7584,,北海道,札幌市中央区,北3条西2-1-13,NC北専北三条ビルB1,,
